év,város,arany,ezüst,bronz,IV.,V.,VI.
1900,Párizs,0,1,3,0,0,0
1908,London,0,0,2,0,0,0
1912,Stockholm,0,0,3,0,0,0
1920,Antwerpen,4,2,5,0,0,0
1924,Párizs,4,1,5,0,0,0
1928,Amszterdam,6,9,4,0,0,0
1932,Los Angeles,2,5,0,0,0,0
1936,Berlin,6,4,7,0,0,0
1948,London,5,2,9,0,0,0
1952,Helsinki,0,5,0,0,0,0
1956,Melbourne,0,0,0,0,0,0
1960,Róma,0,1,2,0,0,0
1964,Tokió,2,4,4,0,0,0
1968,Mexikováros,3,3,1,0,0,0
1972,München,3,1,1,0,0,0
1976,Montréal,0,2,3,0,0,0
1980,Moszkva,0,1,2,0,0,0
1984,Los Angeles,5,2,6,0,0,0
1988,Szöul,2,2,5,0,0,0
1992,Barcelona,2,6,7,0,0,0
1996,Atlanta,4,5,10,0,0,0
2000,Sydney,12,9,4,0,0,0
2004,Athén,4,9,9,0,0,0
2008,Peking,7,5,4,0,0,0
2012,London,6,6,8,0,0,0
2016,Rio de Janeiró,8,7,4,0,0,0
2020,Tokió,10,12,14,0,0,0
